 上一期开奖号码：874
 开奖号码：997,    猜测结果：失败
 原因：
    原因1：代码筛选条件之一： 去除和值大于20 的号码 , 在这里给过滤掉了
    原因2：手动筛选条件之一： 首位小于8， 这里给筛选了
 和值大于10 并且小于20的 号：930
 和值大于10 并且小于20的 号：931
 和值大于10 并且小于20的 号：932
 和值大于10 并且小于20的 号：933
 和值大于10 并且小于20的 号：934
 和值大于10 并且小于20的 号：935
 和值大于10 并且小于20的 号：937
 和值大于10 并且小于20的 号：938
 和值大于10 并且小于20的 号：940
 和值大于10 并且小于20的 号：941
 和值大于10 并且小于20的 号：942
 和值大于10 并且小于20的 号：943
 和值大于10 并且小于20的 号：944
 和值大于10 并且小于20的 号：945
 和值大于10 并且小于20的 号：947
 和值大于10 并且小于20的 号：950
 和值大于10 并且小于20的 号：951
 和值大于10 并且小于20的 号：952
 和值大于10 并且小于20的 号：954
 和值大于10 并且小于20的 号：955
 和值大于10 并且小于20的 号：960
 和值大于10 并且小于20的 号：961
 和值大于10 并且小于20的 号：962
 和值大于10 并且小于20的 号：963
 和值大于10 并且小于20的 号：964
 和值大于10 并且小于20的 号：965
 和值大于10 并且小于20的 号：971
 和值大于10 并且小于20的 号：972
 和值大于10 并且小于20的 号：973
 和值大于10 并且小于20的 号：974
 和值大于10 并且小于20的 号：981
 和值大于10 并且小于20的 号：982
 和值大于10 并且小于20的 号：992
 
 
 # 手动再次筛选
 ---# 保留首位小于 8 的号码 并且中位大于等于 7 的号码 

 和值大于10 并且小于20的 号：073
 和值大于10 并且小于20的 号：074
 和值大于10 并且小于20的 号：082
 和值大于10 并且小于20的 号：083
 和值大于10 并且小于20的 号：084
 和值大于10 并且小于20的 号：091
 和值大于10 并且小于20的 号：093
 和值大于10 并且小于20的 号：094
 和值大于10 并且小于20的 号：172
 和值大于10 并且小于20的 号：173
 和值大于10 并且小于20的 号：174
 和值大于10 并且小于20的 号：181
 和值大于10 并且小于20的 号：182
 和值大于10 并且小于20的 号：190
 和值大于10 并且小于20的 号：192
 和值大于10 并且小于20的 号：193
 和值大于10 并且小于20的 号：194
 和值大于10 并且小于20的 号：271
 和值大于10 并且小于20的 号：272
 和值大于10 并且小于20的 号：273
 和值大于10 并且小于20的 号：274
 和值大于10 并且小于20的 号：280
 和值大于10 并且小于20的 号：281
 和值大于10 并且小于20的 号：283
 和值大于10 并且小于20的 号：284
 和值大于10 并且小于20的 号：291
 和值大于10 并且小于20的 号：292
 和值大于10 并且小于20的 号：294
 和值大于10 并且小于20的 号：370
 和值大于10 并且小于20的 号：371
 和值大于10 并且小于20的 号：374
 和值大于10 并且小于20的 号：380
 和值大于10 并且小于20的 号：381
 和值大于10 并且小于20的 号：382
 和值大于10 并且小于20的 号：383
 和值大于10 并且小于20的 号：384
 和值大于10 并且小于20的 号：390
 和值大于10 并且小于20的 号：391
 和值大于10 并且小于20的 号：393
 和值大于10 并且小于20的 号：394
 和值大于10 并且小于20的 号：470
 和值大于10 并且小于20的 号：471
 和值大于10 并且小于20的 号：473
 和值大于10 并且小于20的 号：474
 和值大于10 并且小于20的 号：480
 和值大于10 并且小于20的 号：481
 和值大于10 并且小于20的 号：482
 和值大于10 并且小于20的 号：484
 和值大于10 并且小于20的 号：490
 和值大于10 并且小于20的 号：492
 和值大于10 并且小于20的 号：494
 和值大于10 并且小于20的 号：570
 和值大于10 并且小于20的 号：572
 和值大于10 并且小于20的 号：573
 和值大于10 并且小于20的 号：580
 和值大于10 并且小于20的 号：581
 和值大于10 并且小于20的 号：582
 和值大于10 并且小于20的 号：583
 和值大于10 并且小于20的 号：590
 和值大于10 并且小于20的 号：591
 和值大于10 并且小于20的 号：592
 和值大于10 并且小于20的 号：593
 和值大于10 并且小于20的 号：670
 和值大于10 并且小于20的 号：671
 和值大于10 并且小于20的 号：674
 和值大于10 并且小于20的 号：680
 和值大于10 并且小于20的 号：681
 和值大于10 并且小于20的 号：682
 和值大于10 并且小于20的 号：684
 和值大于10 并且小于20的 号：690
 和值大于10 并且小于20的 号：691
 和值大于10 并且小于20的 号：692
 和值大于10 并且小于20的 号：693
 和值大于10 并且小于20的 号：694
 和值大于10 并且小于20的 号：770
 和值大于10 并且小于20的 号：771
 和值大于10 并且小于20的 号：772
 和值大于10 并且小于20的 号：773
 和值大于10 并且小于20的 号：774
 和值大于10 并且小于20的 号：790
 和值大于10 并且小于20的 号：791
 和值大于10 并且小于20的 号：792
 和值大于10 并且小于20的 号：793
 和值大于10 并且小于20的 号：780
 和值大于10 并且小于20的 号：781
 和值大于10 并且小于20的 号：782
 和值大于10 并且小于20的 号：783
 和值大于10 并且小于20的 号：784


 ------- # 保留尾号 大于 4 的号码

 ---------------# 放弃中位冷号 5 

 和值大于10 并且小于20的 号：075
 和值大于10 并且小于20的 号：085
 和值大于10 并且小于20的 号：095
 和值大于10 并且小于20的 号：175
 和值大于10 并且小于20的 号：185
 和值大于10 并且小于20的 号：195
 和值大于10 并且小于20的 号：275
 和值大于10 并且小于20的 号：285
 和值大于10 并且小于20的 号：295
 和值大于10 并且小于20的 号：375
 和值大于10 并且小于20的 号：385
 和值大于10 并且小于20的 号：395
 和值大于10 并且小于20的 号：475
 和值大于10 并且小于20的 号：495
 和值大于10 并且小于20的 号：775
 和值大于10 并且小于20的 号：785
 和值大于10 并且小于20的 号：575
 和值大于10 并且小于20的 号：585
 和值大于10 并且小于20的 号：675
 和值大于10 并且小于20的 号：685

 ------------------------------# 放弃尾号 冷号 5

 和值大于10 并且小于20的 号：088
 和值大于10 并且小于20的 号：098
 和值大于10 并且小于20的 号：178
 和值大于10 并且小于20的 号：188
 和值大于10 并且小于20的 号：278
 和值大于10 并且小于20的 号：288
 和值大于10 并且小于20的 号：298
 和值大于10 并且小于20的 号：378
 和值大于10 并且小于20的 号：388
 和值大于10 并且小于20的 号：398
 和值大于10 并且小于20的 号：488
 和值大于10 并且小于20的 号：578

 ------------------------------------# 放弃尾号 冷号 8

 和值大于10 并且小于20的 号：176
 和值大于10 并且小于20的 号：177
 和值大于10 并且小于20的 号：179
 和值大于10 并且小于20的 号：186
 和值大于10 并且小于20的 号：187
 和值大于10 并且小于20的 号：189
 和值大于10 并且小于20的 号：196
 和值大于10 并且小于20的 号：197
 和值大于10 并且小于20的 号：199

 -------------------------------------------# 放弃首位 冷号 1 (最终版)

 和值大于10 并且小于20的 号：289
 和值大于10 并且小于20的 号：379
 和值大于10 并且小于20的 号：487
 和值大于10 并且小于20的 号：577
 和值大于10 并且小于20的 号：676

 ---------------------------------------------------# 放弃和值的个位数为 9 的号码
 和值大于10 并且小于20的 号：096
 和值大于10 并且小于20的 号：276

 -----------------------------------------------------------# 放弃和值的个位数为 5 的号码
 
 和值大于10 并且小于20的 号：377
 和值大于10 并且小于20的 号：596

 ---------------------------------------------------------------# 放弃 跨度(最大号码减去最小号码) 等于4 的号码
 和值大于10 并且小于20的 号：086

 ---------------------------------------------------------------------# 放弃 跨度等于 8 的号码

 和值大于10 并且小于20的 号：476
 和值大于10 并且小于20的 号：477
 和值大于10 并且小于20的 号：587

 ------------------------------------------------------------------------------ # 放弃 跨度等于 3 的号码

 和值大于10 并且小于20的 号：076
 和值大于10 并且小于20的 号：077
 和值大于10 并且小于20的 号：079
 和值大于10 并且小于20的 号：097
 和值大于10 并且小于20的 号：099
 和值大于10 并且小于20的 号：277
 和值大于10 并且小于20的 号：279
 和值大于10 并且小于20的 号：286
 和值大于10 并且小于20的 号：287
 和值大于10 并且小于20的 号：297
 和值大于10 并且小于20的 号：299
 和值大于10 并且小于20的 号：386
 和值大于10 并且小于20的 号：387
 和值大于10 并且小于20的 号：396
 和值大于10 并且小于20的 号：576
 和值大于10 并且小于20的 号：686
 
